,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
1,2,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
2,3,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
3,4,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
4,5,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
5,6,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
6,7,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
7,8,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
8,9,600258,首旅酒店,13.78,1.17,0.16,185126.0,253690281.0,2.2,13.83,13.53,13.56,13.62,1.66,15.96,1.32
9,10,601866,中远海发,2.42,0.83,0.02,1208997.0,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
10,11,600129,太极集团,22.05,0.64,0.14,228916.0,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
11,12,600986,浙文互联,10.29,0.59,0.06,2324738.0,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
12,13,600126,杭钢股份,11.95,0.5,0.06,3285151.0,3855866281.0,10.09,12.32,11.12,11.5,11.89,9.73,-67.75,2.06
13,14,002707,众信旅游,8.42,0.36,0.03,449696.0,378589148.43,2.74,8.54,8.31,8.38,8.39,5.45,50.25,9.38
14,15,002223,鱼跃医疗,35.89,0.11,0.04,55652.0,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
15,16,600233,圆通速递,13.9,0.07,0.01,307627.0,432115183.0,4.1,14.35,13.78,13.85,13.89,0.89,12.26,1.57
16,17,002468,申通快递,12.33,0.0,0.0,193811.0,241838916.82,3.65,12.7,12.25,12.25,12.33,1.3,21.7,2.01
17,18,002027,分众传媒,6.93,0.0,0.0,842917.0,586358073.13,1.88,7.04,6.91,6.91,6.93,0.58,18.92,6.34
18,19,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
19,20,600050,中国联通,5.7,-0.18,-0.01,5022475.0,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
20,21,000521,长虹美菱,8.18,-0.37,-0.03,205205.0,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
21,22,603336,宏辉果蔬,4.88,-0.61,-0.03,477434.0,236925074.0,4.28,5.06,4.85,4.93,4.91,8.37,107.52,2.45
22,23,600690,海尔智家,27.5,-0.65,-0.18,381761.0,1056147916.0,2.42,28.05,27.38,27.57,27.68,0.61,12.77,2.36
23,24,002488,金固股份,14.77,-0.67,-0.1,304208.0,452463878.49,4.37,15.25,14.6,15.03,14.87,3.31,340.65,3.5
24,25,600026,中远海能,11.64,-0.77,-0.09,467729.0,548615205.0,2.47,11.89,11.6,11.67,11.73,1.35,12.2,1.54
25,26,300792,壹网壹创,26.06,-0.84,-0.22,57817.0,150446591.95,2.25,26.33,25.74,26.21,26.28,2.72,48.89,2.15
26,27,600936,广西广电,3.56,-0.84,-0.03,209614.0,74865751.0,1.67,3.6,3.54,3.6,3.59,1.25,-7.33,6.42
27,28,603877,太平鸟,15.22,-0.91,-0.14,14998.0,23014594.0,2.08,15.5,15.18,15.18,15.36,0.32,28.05,1.6
28,29,000906,浙商中拓,6.25,-0.95,-0.06,88265.0,55529030.71,2.22,6.36,6.22,6.3,6.31,1.26,9.17,0.94
29,30,000756,新华制药,14.9,-1.06,-0.16,92494.0,138943549.74,2.59,15.21,14.82,15.12,15.06,2.03,22.4,2.09
30,31,600380,健康元,11.21,-1.23,-0.14,165543.0,186380746.0,2.29,11.42,11.16,11.39,11.35,0.9,13.84,1.42
31,32,300657,弘信电子,37.85,-1.23,-0.47,520284.0,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
32,33,601108,财通证券,7.98,-1.24,-0.1,465150.0,373589318.0,1.73,8.11,7.97,8.06,8.08,1.0,18.88,1.05
33,34,002120,韵达股份,7.16,-1.24,-0.09,602713.0,436005875.12,2.9,7.35,7.14,7.21,7.25,2.14,11.06,1.05
34,35,600055,万东医疗,16.81,-1.29,-0.22,60681.0,102316888.0,1.64,17.04,16.76,17.0,17.03,1.12,75.11,2.48
35,36,603373,安邦护卫,30.62,-1.35,-0.42,9630.0,29704295.0,2.35,31.28,30.55,31.04,31.04,2.12,28.68,1.88
36,37,603848,好太太,14.14,-1.39,-0.2,18209.0,25818550.0,1.88,14.34,14.07,14.34,14.34,0.45,22.49,2.4
37,38,300274,阳光电源,67.6,-1.41,-0.97,252847.0,1721796743.53,2.26,69.08,67.53,68.26,68.57,1.59,13.83,4.1
38,39,600604,市北高新,4.86,-1.42,-0.07,229982.0,111370907.0,2.84,4.92,4.78,4.9,4.93,1.63,-69.87,1.45
39,40,600335,国机汽车,6.84,-1.44,-0.1,269698.0,186267294.0,2.88,7.02,6.82,6.89,6.94,1.8,25.02,0.92
40,41,300688,创业黑马,30.59,-1.45,-0.45,78393.0,240160288.9,4.12,31.48,30.2,30.73,31.04,5.29,-88.97,10.54
41,42,002208,合肥城建,6.76,-1.46,-0.1,121552.0,82479924.5,2.19,6.88,6.73,6.86,6.86,1.51,46.22,0.82
42,43,601929,吉视传媒,1.98,-1.49,-0.03,1086762.0,216309145.0,2.99,2.02,1.96,2.0,2.01,3.11,-14.87,1.29
43,44,000625,长安汽车,12.91,-1.53,-0.2,916534.0,1188739579.58,1.53,13.1,12.9,13.08,13.11,1.11,26.81,1.76
44,45,300068,南都电源,18.41,-1.55,-0.29,593507.0,1107470731.31,3.32,19.02,18.4,18.7,18.7,6.94,50.22,3.04
45,46,000156,华数传媒,8.76,-1.57,-0.14,413443.0,366612668.0,3.03,9.01,8.74,8.84,8.9,2.43,30.4,1.09
46,47,002264,新 华 都,6.12,-1.61,-0.1,93416.0,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
47,48,601688,华泰证券,17.61,-1.68,-0.3,564238.0,1001501787.0,2.07,17.95,17.58,17.85,17.91,0.77,9.52,0.99
48,49,605136,丽人丽妆,7.59,-1.68,-0.13,69710.0,53234404.0,2.33,7.74,7.56,7.72,7.72,1.74,-82.01,1.23
49,50,603391,力聚热能,42.11,-1.7,-0.73,13209.0,56129905.0,2.15,43.0,42.08,42.79,42.84,5.81,20.17,1.94
50,51,603076,乐惠国际,23.51,-1.71,-0.41,12348.0,29113760.0,3.18,24.12,23.36,24.12,23.92,1.02,52.51,2.13
51,52,688100,威胜信息,36.99,-1.73,-0.65,22658.0,84475182.0,3.11,37.85,36.68,37.5,37.64,0.46,28.84,5.43
52,53,600037,歌华有线,7.63,-1.8,-0.14,227385.0,175429083.0,2.96,7.82,7.59,7.76,7.77,1.63,-146.38,0.84
53,54,600827,百联股份,9.24,-1.81,-0.17,120818.0,112401369.0,2.02,9.41,9.22,9.39,9.41,0.75,7.63,0.85
54,55,603888,新华网,23.36,-1.85,-0.44,72299.0,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
55,56,000501,武商集团,8.46,-1.86,-0.16,118187.0,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
56,57,000516,国际医学,5.81,-1.86,-0.11,303228.0,177211490.0,2.7,5.95,5.79,5.92,5.92,1.36,-46.44,3.6
57,58,000607,华媒控股,4.15,-1.89,-0.08,85869.0,35882358.0,2.13,4.23,4.14,4.22,4.23,0.99,283.46,2.59
58,59,600398,海澜之家,8.06,-1.95,-0.16,339086.0,276306853.0,3.89,8.33,8.01,8.22,8.22,0.71,15.22,2.31
59,60,600880,博瑞传播,4.84,-2.02,-0.1,345300.0,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
