,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002713,东易日盛,7.05,9.98,0.64,49340.0,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
1,2,603359,东珠生态,7.18,9.95,0.65,111710.0,80207737.0,0.0,7.18,7.18,7.18,6.53,2.5,183.49,0.97
2,3,002342,巨力索具,6.39,7.39,0.44,3637474.0,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
3,4,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
4,5,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
5,6,002310,*ST东园,2.02,5.21,0.1,1099696.0,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
6,7,300117,*ST嘉寓,0.89,4.71,0.04,613515.0,55159277.0,11.76,0.95,0.85,0.86,0.85,8.56,-2.31,-0.38
7,8,000039,中集集团,9.56,4.71,0.43,1345893.0,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
8,9,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
9,10,300255,常山药业,20.5,3.27,0.65,213441.0,433330653.29,6.4,20.93,19.66,19.95,19.85,2.33,1938.32,10.36
10,11,300844,山水比德,36.2,2.12,0.75,20487.0,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
11,12,300070,碧水源,4.85,1.89,0.09,677300.0,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
12,13,000600,建投能源,5.8,1.75,0.1,540123.0,314332067.83,4.56,5.92,5.66,5.7,5.7,4.96,18.04,1.03
13,14,300197,节能铁汉,2.27,1.34,0.03,1016900.0,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
14,15,300767,震安科技,11.1,1.28,0.14,165371.0,182913312.35,4.29,11.28,10.81,11.03,10.96,6.9,-40.46,1.84
15,16,300368,ST汇金,4.99,1.22,0.06,96625.0,48015603.0,2.84,5.04,4.9,4.92,4.93,1.83,-68.0,7.91
16,17,000959,首钢股份,3.59,1.13,0.04,349650.0,125973643.68,2.82,3.64,3.54,3.54,3.55,0.54,102.77,0.56
17,18,601000,唐山港,4.19,0.96,0.04,522767.0,218968723.0,1.45,4.21,4.15,4.15,4.15,0.88,11.78,1.22
18,19,000012,南  玻Ａ,5.05,0.8,0.04,234216.0,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
19,20,300187,永清环保,5.3,0.76,0.04,115374.0,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
20,21,300365,恒华科技,6.91,0.73,0.05,364903.0,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
21,22,002809,红墙股份,8.99,0.67,0.06,147436.0,134636141.6,6.72,9.42,8.82,8.85,8.93,10.7,35.5,1.18
