,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002923,润都股份,12.55,5.91,0.7,230415,282923283.71,7.09,12.55,11.71,11.71,11.85,8.93,84.78,3.66
1,2,000593,德龙汇能,5.73,-0.17,-0.01,68632,39324941.57,1.92,5.79,5.68,5.71,5.74,1.91,36.4,2.36
2,3,600332,白云山,26.6,-0.23,-0.06,103855,277920979.0,1.46,26.95,26.56,26.8,26.66,0.74,15.25,1.2
3,4,002001,新 和 成,21.55,-0.28,-0.06,150067,324011898.39,1.99,21.83,21.4,21.61,21.61,0.49,12.45,2.47
4,5,600062,华润双鹤,18.85,-0.68,-0.13,168490,318051038.0,1.58,19.06,18.76,19.0,18.98,1.64,12.03,1.88
5,6,600267,海正药业,8.56,-1.04,-0.09,116022,100025007.0,2.2,8.71,8.52,8.68,8.65,0.97,14.94,1.24
6,7,600422,昆药集团,17.12,-1.55,-0.27,167279,291478287.0,5.06,17.9,17.02,17.85,17.39,2.21,20.0,2.47
7,8,600196,复星医药,24.5,-1.8,-0.45,117445,290311453.0,2.28,25.05,24.48,24.94,24.95,0.55,24.41,1.38
8,9,603880,南卫股份,5.21,-2.98,-0.16,54941,28804669.0,4.47,5.42,5.18,5.37,5.37,1.9,-84.84,3.3
9,10,002821,凯莱英,77.8,-3.0,-2.41,26557,208617016.3,3.72,80.48,77.5,80.0,80.21,0.83,29.62,1.69
10,11,600216,浙江医药,13.48,-3.23,-0.45,377750,514014634.0,3.09,13.83,13.4,13.8,13.93,3.93,11.44,1.25
