,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,002278,神开股份,11.29,10.04,1.03,1299283,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
2,3,601798,蓝科高新,8.28,9.96,0.75,380708,305951438.0,7.97,8.28,7.68,7.72,7.53,10.74,-106.37,2.25
3,4,000852,石化机械,8.29,9.95,0.75,1361530,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
4,5,600777,ST新潮,2.19,4.78,0.1,999507,218471842.0,1.44,2.19,2.16,2.17,2.09,1.57,6.76,0.69
5,6,300157,新锦动力,4.01,4.7,0.18,1327674,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
6,7,300963,中洲特材,10.4,4.42,0.44,333806,337372393.52,7.53,10.4,9.65,9.76,9.96,16.65,35.1,3.32
7,8,300228,富瑞特装,8.73,3.56,0.3,1224543,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
8,9,600871,石化油服,2.04,3.55,0.07,2391007,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
9,10,002478,常宝股份,5.57,3.15,0.17,475708,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
10,11,002353,杰瑞股份,36.86,3.1,1.11,169898,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
11,12,000932,华菱钢铁,5.4,2.66,0.14,1604648,867435945.98,4.18,5.48,5.26,5.26,5.26,2.32,18.36,0.7
12,13,002318,久立特材,23.79,2.15,0.5,74621,178013418.33,3.99,24.08,23.15,23.3,23.29,0.78,16.69,3.07
13,14,002490,ST墨龙,3.72,1.36,0.05,137320,50744757.64,3.54,3.76,3.63,3.67,3.67,2.54,34.04,6.05
14,15,300164,通源石油,4.51,1.35,0.06,853126,389766198.71,5.39,4.69,4.45,4.45,4.45,14.63,41.37,1.94
15,16,600231,凌钢股份,1.83,1.1,0.02,279854,51485036.0,3.87,1.87,1.8,1.81,1.81,0.99,-2.87,0.88
16,17,871694,中裕科技,20.12,0.5,0.1,24093,48283309.97,6.74,20.67,19.32,19.84,20.02,5.01,19.61,2.5
17,18,603699,纽威股份,26.47,0.34,0.09,51109,135847028.0,3.98,27.08,26.03,26.19,26.38,0.68,18.43,5.06
18,19,300370,安控科技,3.39,0.3,0.01,659962,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
19,20,601857,中国石油,7.96,0.13,0.01,2092425,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
20,21,002828,贝肯能源,9.4,0.11,0.01,169963,161009857.0,3.94,9.68,9.31,9.35,9.39,8.84,58.22,3.16
21,22,002053,云南能投,11.4,-0.26,-0.03,50493,57796559.0,1.4,11.54,11.38,11.44,11.43,0.55,15.64,1.42
22,23,300072,海新能科,3.38,-0.29,-0.01,299933,102704708.46,3.83,3.49,3.36,3.37,3.39,1.29,-9.41,1.26
23,24,300471,厚普股份,9.93,-0.5,-0.05,177643,179013466.82,4.21,10.28,9.86,9.92,9.98,4.85,-50.07,3.5
24,25,600106,重庆路桥,5.7,-0.52,-0.03,236251,136131942.0,3.84,5.89,5.67,5.72,5.73,1.78,45.05,1.55
25,26,001296,长江材料,18.33,-0.54,-0.1,31772,58479527.57,2.17,18.63,18.23,18.45,18.43,4.13,22.19,1.61
26,27,600028,中国石化,5.81,-0.85,-0.05,1530583,899008888.0,2.05,5.93,5.81,5.86,5.86,0.16,11.94,0.86
27,28,600157,永泰能源,1.49,-1.32,-0.02,5389190,808432373.0,2.65,1.52,1.48,1.5,1.51,2.43,16.96,0.7
28,29,001358,兴欣新材,22.98,-1.33,-0.31,7205,16601586.4,2.28,23.43,22.9,23.21,23.29,1.54,34.13,1.96
29,30,300446,航天智造,20.07,-1.47,-0.3,358464,715308759.14,2.99,20.25,19.64,20.01,20.37,11.51,21.46,3.24
30,31,603800,洪田股份,31.8,-4.07,-1.35,42473,136991289.0,4.77,33.3,31.72,32.9,33.15,2.04,58.26,8.39
31,32,002221,东华能源,9.84,-4.19,-0.43,337381,340939581.73,5.74,10.42,9.83,10.24,10.27,2.31,88.61,1.44
