,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,300569,天能重工,6.32,19.92,1.05,1277900,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
2,3,300878,维康药业,17.99,12.09,1.94,110343,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
3,4,300700,岱勒新材,10.05,11.92,1.07,660570,671187574.3,19.82,10.78,9.0,9.0,8.98,24.42,-35.18,3.46
4,5,301331,恩威医药,28.13,11.27,2.85,116027,335278680.13,15.39,30.34,26.45,26.45,25.28,37.09,98.57,2.83
5,6,300798,锦鸡股份,10.32,10.97,1.02,1137502,1119519762.34,23.12,10.86,8.71,8.8,9.3,30.55,411.11,2.85
6,7,300108,*ST吉药,1.04,10.64,0.1,1161275,120854311.01,13.83,1.1,0.97,0.97,0.94,17.71,-2.25,-1.35
7,8,300461,田中精机,25.6,10.44,2.42,198138,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
8,9,301136,招标股份,13.95,10.1,1.28,319982,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
9,10,603028,赛福天,8.31,10.07,0.76,71252,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
10,11,002554,惠博普,2.96,10.04,0.27,1084063,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
11,12,002767,先锋电子,18.21,10.03,1.66,221888,378333897.04,11.12,18.21,16.37,16.47,16.55,17.04,208.84,3.34
12,13,603767,中马传动,20.43,10.02,1.86,652797,1301152153.0,7.11,20.43,19.11,19.98,18.57,21.15,94.35,4.37
13,14,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
14,15,000571,新大洲A,4.84,10.0,0.44,434445,203498928.95,10.45,4.84,4.38,4.43,4.4,5.34,-39.02,13.61
15,16,605336,帅丰电器,22.33,10.0,2.03,148223,325880867.0,11.48,22.33,20.0,20.45,20.3,8.08,69.69,2.15
16,17,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
17,18,603139,康惠制药,20.7,9.99,1.88,5261,10890270.0,0.0,20.7,20.7,20.7,18.82,0.53,-40.5,2.27
18,19,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
19,20,002115,三维通信,9.38,9.96,0.85,1694326,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
20,21,603359,东珠生态,7.18,9.95,0.65,111710,80207737.0,0.0,7.18,7.18,7.18,6.53,2.5,183.49,0.97
21,22,300591,万里马,5.2,9.01,0.43,508755,256468023.81,9.64,5.29,4.83,4.84,4.77,14.51,-24.28,4.96
22,23,300022,吉峰科技,7.47,8.89,0.61,488496,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
23,24,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
24,25,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
25,26,605318,法狮龙,28.83,7.37,1.98,39192,108568809.0,12.07,29.49,26.25,27.35,26.85,3.12,-221.86,4.75
26,27,300516,久之洋,39.5,7.16,2.64,126367,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
27,28,300125,ST聆达,8.34,6.92,0.54,257860,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
28,29,002529,海源复材,9.41,6.81,0.6,401738,376225702.06,7.04,9.69,9.07,9.32,8.81,15.45,-43.72,5.99
29,30,300850,新强联,28.76,6.76,1.82,204246,590345612.99,12.84,30.28,26.82,26.82,26.94,8.32,-214.42,2.13
30,31,300961,深水海纳,22.98,6.49,1.4,597941,1371125481.06,18.4,24.97,21.0,21.02,21.58,39.59,-1603.58,4.05
31,32,300265,通光线缆,10.06,6.46,0.61,852913,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
32,33,001212,中旗新材,27.9,6.41,1.68,83970,226725334.76,8.7,27.98,25.7,26.21,26.22,8.2,67.69,2.15
33,34,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
34,35,600228,返利科技,6.15,6.22,0.36,722446,434569783.0,11.05,6.27,5.63,5.78,5.79,17.34,-588.96,5.04
35,36,603685,晨丰科技,13.63,5.99,0.77,67607,89256091.0,8.79,13.66,12.53,12.86,12.86,4.0,123.6,2.05
36,37,600397,安源煤业,6.57,5.97,0.37,610003,393224131.0,11.29,6.8,6.1,6.16,6.2,6.16,-26.22,19.31
37,38,002923,润都股份,12.55,5.91,0.7,230415,282923283.71,7.09,12.55,11.71,11.71,11.85,8.93,84.78,3.66
38,39,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
39,40,002724,海洋王,8.48,5.74,0.46,1161113,995693957.26,9.98,8.82,8.02,8.69,8.02,20.31,93.88,2.31
40,41,300095,华伍股份,7.98,5.7,0.43,621606,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
41,42,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
42,43,301178,天亿马,36.47,5.4,1.87,75089,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
43,44,002178,延华智能,7.38,5.13,0.36,732688,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
44,45,688339,亿华通-U,25.9,5.03,1.24,110427,284301767.0,5.31,26.39,25.08,25.1,24.66,6.93,-13.24,2.32
45,46,301311,昆船智能,20.87,5.03,1.0,207996,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
46,47,000622,*ST恒立,2.81,4.85,0.13,163898,45587291.34,5.22,2.81,2.67,2.72,2.68,3.85,-55.27,7.17
47,48,600876,凯盛新能,10.85,4.73,0.49,249719,265308706.0,12.45,11.39,10.1,10.44,10.36,6.31,-21.25,1.6
48,49,300583,赛托生物,26.6,4.72,1.2,70105,183754543.41,6.65,26.99,25.3,25.38,25.4,3.77,257.18,2.6
49,50,002977,天箭科技,29.77,4.71,1.34,46442,135370512.04,5.42,29.84,28.3,28.3,28.43,6.97,371.57,3.29
50,51,300117,*ST嘉寓,0.89,4.71,0.04,613515,55159277.0,11.76,0.95,0.85,0.86,0.85,8.56,-2.31,-0.38
51,52,603489,八方股份,31.38,4.53,1.36,128711,382755068.0,12.23,32.0,28.33,29.8,30.02,5.48,107.91,2.8
52,53,688788,科思科技,70.64,4.48,3.03,31000,216670918.0,7.57,71.87,66.75,67.02,67.61,2.93,-26.38,3.45
