,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
1,2,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
2,3,300501,海顺新材,16.44,4.25,0.67,125635,203376876.26,5.45,16.51,15.65,15.85,15.77,10.03,29.93,1.97
3,4,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
4,5,600965,福成股份,5.02,2.24,0.11,194066,96596153.0,3.67,5.05,4.87,4.91,4.91,2.37,79.5,1.91
5,6,300094,国联水产,4.09,2.0,0.08,1761210,726535866.92,9.73,4.33,3.94,3.95,4.01,15.94,-43.5,1.85
6,7,002069,獐子岛,3.98,1.79,0.07,308676,124108868.55,5.88,4.13,3.9,3.91,3.91,4.35,-85.76,58.33
7,8,000721,西安饮食,9.74,1.78,0.17,276647,264944920.0,4.28,9.8,9.39,9.55,9.57,5.4,-47.3,16.79
8,9,002701,奥瑞金,5.02,1.01,0.05,381881,192567955.61,3.82,5.14,4.95,4.97,4.97,1.49,12.66,1.41
9,10,000428,华天酒店,3.21,0.94,0.03,145365,46385002.8,1.89,3.22,3.16,3.19,3.18,1.43,-21.98,2.01
10,11,600257,大湖股份,5.05,0.8,0.04,409061,207828304.0,3.99,5.18,4.98,4.98,5.01,8.5,-85.08,2.84
11,12,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
12,13,002124,ST天邦,3.03,0.33,0.01,1221907,375912403.62,5.3,3.17,3.01,3.12,3.02,6.19,3.76,1.89
13,14,000895,双汇发展,25.98,0.23,0.06,104377,271969261.7,1.35,26.21,25.86,25.89,25.92,0.3,17.74,4.52
14,15,002251,ST步步高,4.31,0.23,0.01,278060,120178304.57,2.56,4.39,4.28,4.32,4.3,1.84,4.3,1.35
15,16,002186,全 聚 德,11.08,0.18,0.02,63106,69662676.91,1.99,11.16,10.94,10.99,11.06,2.06,36.2,3.89
16,17,601007,金陵饭店,6.98,0.14,0.01,68195,47480695.0,1.43,7.01,6.91,6.94,6.97,1.75,48.82,1.72
17,18,000524,岭南控股,10.24,-0.1,-0.01,83944,85981552.0,1.85,10.33,10.14,10.25,10.25,1.25,38.06,3.05
18,19,603043,广州酒家,16.28,-0.25,-0.04,36017,58628174.0,1.9,16.42,16.11,16.31,16.32,0.63,15.5,2.42
