,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554.0,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
2,3,002165,红 宝 丽,5.48,10.04,0.5,1046017.0,555926006.92,8.63,5.48,5.05,5.08,4.98,14.38,65.56,2.0
3,4,002633,申科股份,15.7,10.02,1.43,232703.0,355702359.69,13.1,15.7,13.83,14.24,14.27,15.59,251.68,5.61
4,5,002907,华森制药,14.39,10.02,1.31,90885.0,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
5,6,603776,永安行,24.61,10.01,2.24,148743.0,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
6,7,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
7,8,000890,法尔胜,4.18,10.0,0.38,574195.0,230954586.32,10.53,4.18,3.78,3.78,3.8,13.69,-31.8,22.67
8,9,600243,青海华鼎,3.97,9.97,0.36,1522817.0,600172931.0,3.88,3.97,3.83,3.96,3.61,34.7,-74.17,2.45
9,10,600759,洲际油气,2.54,9.96,0.23,5203959.0,1292524272.0,9.96,2.54,2.31,2.31,2.31,12.56,50.8,1.28
10,11,601798,蓝科高新,8.28,9.96,0.75,380708.0,305951438.0,7.97,8.28,7.68,7.72,7.53,10.74,-106.37,2.25
11,12,002427,尤夫股份,4.33,9.9,0.39,153680.0,66266309.45,4.57,4.33,4.15,4.15,3.94,1.56,-92.04,4.63
12,13,002086,东方海洋,3.76,9.62,0.33,4725647.0,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
13,14,300721,怡达股份,15.33,9.5,1.33,347109.0,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
14,15,600610,中毅达,7.96,8.74,0.64,1239329.0,952188559.0,13.39,8.0,7.02,7.1,7.32,17.49,-605.47,128.62
15,16,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
16,17,301105,鸿铭股份,36.5,8.12,2.74,38141.0,134371765.81,13.33,37.03,32.53,33.77,33.76,23.2,349.31,2.13
17,18,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
18,19,002483,润邦股份,7.81,7.72,0.56,1224418.0,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
19,20,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
20,21,300301,*ST长方,2.04,6.81,0.13,364128.0,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
21,22,300816,艾可蓝,36.79,6.76,2.33,131280.0,480668599.51,19.7,40.3,33.51,34.11,34.46,27.14,42.81,3.53
22,23,688793,倍轻松,35.9,6.65,2.24,68981.0,250984417.0,13.93,38.57,33.88,33.88,33.66,8.03,327.04,8.29
23,24,002306,中科云网,3.4,5.92,0.19,1680859.0,550148130.78,15.58,3.52,3.02,3.13,3.21,20.67,-57.48,936.1
