,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831689,克莱特,49.29,19.93,8.19,148112,709566126.12,30.58,52.85,40.28,40.37,41.1,39.8,49.74,7.76
1,2,300569,天能重工,6.32,19.92,1.05,1277900,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
2,3,002300,太阳电缆,6.33,10.09,0.58,257085,159240660.31,10.78,6.33,5.71,5.75,5.75,3.56,36.0,2.42
3,4,600320,振华重工,4.92,10.07,0.45,1159817,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
4,5,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
5,6,601608,中信重工,5.26,10.04,0.48,1713251,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
6,7,001239,永达股份,19.8,10.0,1.8,418829,816925273.54,9.11,19.8,18.16,19.15,18.0,36.74,78.92,3.74
7,8,601226,华电科工,7.6,9.99,0.69,302414,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
8,9,873570,坤博精工,52.46,8.88,4.28,71706,381573082.88,18.64,57.79,48.81,48.89,48.18,32.03,143.23,6.96
9,10,002483,润邦股份,7.81,7.72,0.56,1224418,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
10,11,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
11,12,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
12,13,300850,新强联,28.76,6.76,1.82,204246,590345612.99,12.84,30.28,26.82,26.82,26.94,8.32,-214.42,2.13
13,14,603685,晨丰科技,13.63,5.99,0.77,67607,89256091.0,8.79,13.66,12.53,12.86,12.86,4.0,123.6,2.05
14,15,300095,华伍股份,7.98,5.7,0.43,621606,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
15,16,834682,球冠电缆,10.87,5.53,0.57,209603,227980557.17,14.27,11.48,10.01,10.01,10.3,13.36,16.47,2.63
16,17,301063,海锅股份,28.52,5.36,1.45,254443,723350395.36,12.78,30.0,26.54,26.81,27.07,29.85,96.94,1.95
