,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
1,2,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
2,3,300411,金盾股份,14.53,3.93,0.55,446201,643303210.55,7.01,14.68,13.7,13.88,13.98,14.56,214.26,6.19
3,4,600178,东安动力,14.28,3.7,0.51,804592,1120381992.0,12.2,14.83,13.15,13.53,13.77,17.25,-3156.33,2.64
4,5,300607,拓斯达,36.13,1.83,0.65,516051,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
5,6,600576,祥源文旅,9.2,0.11,0.01,88675,82275071.0,3.48,9.42,9.1,9.18,9.19,1.34,66.04,3.49
6,7,000524,岭南控股,10.24,-0.1,-0.01,83944,85981552.0,1.85,10.33,10.14,10.25,10.25,1.25,38.06,3.05
7,8,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
8,9,688598,金博股份,30.92,-0.45,-0.14,95120,290004744.0,5.09,31.5,29.92,30.88,31.06,4.66,-8.14,1.21
9,10,600038,中直股份,37.01,-0.96,-0.36,73584,274282133.0,2.22,37.69,36.86,37.26,37.37,1.1,63.7,1.89
10,11,300690,双一科技,23.9,-1.08,-0.26,76772,185808798.0,4.06,24.78,23.8,24.0,24.16,6.97,46.19,2.73
11,12,301099,雅创电子,51.0,-1.35,-0.7,52562,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
12,13,002023,海特高新,10.47,-1.41,-0.15,129379,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
13,14,688295,中复神鹰,21.32,-1.57,-0.34,22593,48521989.0,3.14,21.88,21.2,21.5,21.66,1.56,-161.6,4.14
14,15,301586,佳力奇,55.96,-1.62,-0.92,12378,69257855.55,2.78,56.82,55.24,56.34,56.88,5.97,44.31,3.78
15,16,300107,建新股份,8.99,-1.64,-0.15,77947,70451251.0,2.3,9.17,8.96,9.12,9.14,2.25,276.62,3.35
16,17,002074,国轩高科,22.52,-1.79,-0.41,188712,426880186.27,2.7,23.0,22.38,22.8,22.93,1.09,73.81,1.61
17,18,300263,隆华科技,7.62,-1.8,-0.14,349404,270621106.4,3.87,7.89,7.59,7.71,7.76,4.67,33.41,2.18
18,19,301215,中汽股份,5.92,-1.82,-0.11,128337,76597749.07,2.82,6.07,5.9,6.01,6.03,0.97,53.06,2.8
19,20,002984,森麒麟,24.86,-1.89,-0.48,146736,367448335.04,2.64,25.38,24.71,25.25,25.34,2.08,11.19,2.05
20,21,002465,海格通信,11.92,-1.89,-0.23,466325,556962763.49,3.62,12.21,11.77,12.07,12.15,1.92,119.98,2.33
21,22,002967,广电计量,19.08,-1.9,-0.37,49593,95437235.58,3.03,19.58,18.99,19.28,19.45,0.92,44.21,3.13
22,23,002097,山河智能,8.12,-2.05,-0.17,289173,236926525.6,3.5,8.37,8.08,8.25,8.29,2.7,187.96,1.91
23,24,002182,宝武镁业,12.92,-2.2,-0.29,229317,298581222.67,2.8,13.23,12.86,13.18,13.21,2.65,62.5,2.4
24,25,002735,王子新材,9.54,-2.25,-0.22,96585,92838856.6,2.66,9.76,9.5,9.72,9.76,3.44,212.16,2.03
25,26,301181,标榜股份,26.1,-2.25,-0.6,32318,83737301.16,3.03,26.4,25.59,26.21,26.7,8.29,25.79,2.17
26,27,688033,天宜上佳,5.89,-2.32,-0.14,97553,57954790.0,2.82,6.04,5.87,6.03,6.03,1.74,-2.26,0.89
27,28,601238,广汽集团,8.54,-2.4,-0.21,351442,303163661.0,2.63,8.75,8.52,8.75,8.75,0.48,543.99,0.76
28,29,300467,迅游科技,20.39,-2.44,-0.51,149487,311458052.73,4.98,21.39,20.35,20.97,20.9,8.87,140.85,6.67
29,30,300594,朗进科技,17.5,-2.45,-0.44,20902,36866440.0,2.51,17.93,17.48,17.9,17.94,2.3,-27.86,1.85
30,31,600210,紫江企业,6.74,-2.6,-0.18,387964,264177077.0,3.03,6.92,6.71,6.9,6.92,2.56,14.53,1.74
31,32,000099,中信海直,24.71,-2.68,-0.68,181943,453912353.74,2.64,25.37,24.7,25.16,25.39,2.35,63.22,3.6
32,33,688612,威迈斯,28.59,-2.69,-0.79,51884,148517525.0,7.08,30.1,28.02,30.0,29.38,2.04,29.81,3.68
33,34,300928,华安鑫创,37.8,-2.93,-1.14,28750,110087650.0,3.6,39.1,37.7,38.62,38.94,5.42,-57.38,2.55
34,35,300859,西域旅游,37.33,-3.09,-1.19,72460,270460987.24,4.85,38.4,36.53,38.14,38.52,4.67,37.63,7.36
35,36,300902,国安达,19.73,-3.24,-0.66,48757,97273254.6,4.76,20.58,19.61,20.26,20.39,4.01,-352.69,4.26
36,37,688333,铂力特,72.95,-3.24,-2.44,63199,463491205.0,5.36,75.85,71.81,75.5,75.39,2.33,264.07,4.12
37,38,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
38,39,833346,威贸电子,26.75,-3.32,-0.92,18684,50638212.77,6.18,28.21,26.5,27.2,27.67,4.23,36.22,4.79
39,40,002067,景兴纸业,4.06,-3.33,-0.14,573725,235230089.24,2.86,4.17,4.05,4.16,4.2,5.14,76.27,0.89
40,41,002870,香山股份,37.48,-3.6,-1.4,44079,167474328.0,5.27,39.4,37.35,38.73,38.88,4.24,29.65,3.12
41,42,002454,松芝股份,7.41,-3.64,-0.28,166622,124667006.0,4.03,7.69,7.38,7.62,7.69,2.66,36.05,1.19
42,43,300484,蓝海华腾,21.32,-3.66,-0.81,72669,156845325.0,3.71,22.09,21.27,21.94,22.13,4.37,159.06,6.91
43,44,002085,万丰奥威,18.36,-3.67,-0.7,618879,1153944294.82,4.09,19.14,18.36,19.08,19.06,2.91,51.88,5.65
44,45,002906,华阳集团,34.87,-3.7,-1.34,97412,343461692.98,5.0,36.48,34.67,36.48,36.21,1.86,29.54,2.92
45,46,300428,立中集团,18.89,-3.72,-0.73,120673,230560622.82,3.26,19.52,18.88,19.45,19.62,2.19,17.32,1.65
46,47,002510,天汽模,5.89,-3.76,-0.23,515119,306398421.46,3.76,6.1,5.87,6.06,6.12,5.13,49.61,2.47
47,48,688103,国力股份,48.2,-3.79,-1.9,20971,102788849.0,4.95,50.48,48.0,49.81,50.1,2.2,140.87,4.02
48,49,300975,商络电子,11.57,-3.82,-0.46,178678,208847291.99,3.99,11.98,11.5,11.91,12.03,3.81,111.46,3.79
49,50,002590,万安科技,13.83,-4.09,-0.59,245544,342913895.64,3.74,14.32,13.78,14.32,14.42,4.96,36.48,2.54
50,51,301366,一博科技,57.63,-4.13,-2.48,45550,266041513.36,3.28,59.59,57.62,59.0,60.11,8.33,77.52,3.97
51,52,300953,震裕科技,163.33,-4.32,-7.37,58245,957836399.26,5.58,171.2,161.67,171.2,170.7,6.9,84.68,5.67
52,53,603596,伯特利,62.52,-4.98,-3.28,88295,555010417.0,5.81,65.5,61.68,65.21,65.8,1.46,36.55,6.11
53,54,600580,卧龙电驱,26.7,-5.08,-1.43,1064105,2869786010.0,5.94,28.06,26.39,27.78,28.13,8.17,40.87,3.52
54,55,603085,天成自控,11.82,-5.14,-0.64,195195,233041634.0,5.3,12.42,11.76,12.4,12.46,5.27,134.11,5.23
55,56,002708,光洋股份,13.35,-5.25,-0.74,971747,1331437205.32,8.52,14.45,13.25,13.64,14.09,18.91,140.06,4.29
56,57,300843,胜蓝股份,33.11,-5.91,-2.08,83186,279543734.75,5.66,34.99,33.0,34.99,35.19,5.34,46.36,3.69
57,58,001319,铭科精技,29.34,-6.29,-1.97,105718,314249514.58,5.69,30.87,29.09,30.87,31.31,17.34,40.66,3.3
58,59,300507,苏奥传感,8.52,-6.48,-0.59,706367,610582765.99,5.71,9.0,8.48,9.0,9.11,9.14,46.32,3.32
59,60,832491,奥迪威,30.38,-6.55,-2.13,76448,238102240.4,7.87,32.9,30.34,32.43,32.51,6.7,36.14,4.29
60,61,300752,隆利科技,20.49,-6.86,-1.51,98939,208617313.7,7.5,21.93,20.28,21.93,22.0,6.43,44.9,4.02
61,62,301398,星源卓镁,56.28,-7.05,-4.27,24762,142705100.0,7.42,60.5,56.01,59.93,60.55,10.36,60.21,4.16
62,63,688219,会通股份,13.71,-7.05,-1.04,198099,279645025.0,7.05,14.75,13.71,14.57,14.75,4.21,33.27,2.81
63,64,605018,长华集团,12.98,-7.09,-0.99,134628,178591056.0,6.3,13.78,12.9,13.67,13.97,2.86,50.98,2.26
64,65,300083,创世纪,9.71,-7.35,-0.77,2187734,2166181665.0,5.15,10.23,9.69,10.22,10.48,14.65,60.13,3.16
65,66,000887,中鼎股份,21.02,-7.56,-1.72,948671,2047134961.49,6.6,22.51,21.01,22.36,22.74,7.22,19.73,2.16
66,67,002965,祥鑫科技,61.99,-7.63,-5.12,291846,1842535082.82,11.68,68.33,60.49,66.89,67.11,19.03,35.27,3.09
67,68,603950,长源东谷,24.44,-8.43,-2.25,83633,209102844.0,7.12,26.33,24.43,26.0,26.69,2.58,38.31,3.07
68,69,603319,美湖股份,37.69,-8.79,-3.63,275655,1072406581.0,9.15,41.31,37.53,41.0,41.32,11.96,45.35,3.91
69,70,300681,英搏尔,33.79,-8.87,-3.29,154789,540806053.55,8.41,36.8,33.68,36.48,37.08,8.78,126.79,4.45
70,71,300900,广联航空,22.72,-10.34,-2.62,382311,899394877.8,7.5,24.55,22.65,24.2,25.34,17.41,98.53,4.61
