,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
1,2,688068,热景生物,91.33,4.12,3.61,32660,296952985.0,11.97,96.0,85.5,86.57,87.72,3.53,-47.12,2.74
2,3,300887,谱尼测试,9.05,2.61,0.23,403480,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
3,4,301323,新莱福,46.67,2.03,0.93,14981,68683060.0,3.8,46.75,45.01,45.74,45.74,2.24,34.37,2.4
4,5,300797,钢研纳克,12.91,1.49,0.19,101604,131977876.78,6.37,13.4,12.59,12.61,12.72,2.71,42.82,4.39
5,6,600731,湖南海利,6.46,1.1,0.07,187209,121588567.0,3.44,6.59,6.37,6.37,6.39,3.36,13.49,1.17
6,7,600251,冠农股份,7.19,0.28,0.02,70878,50872635.0,1.12,7.22,7.14,7.14,7.17,0.91,12.63,1.51
7,8,002191,劲嘉股份,3.81,-0.26,-0.01,153590,58593525.6,1.83,3.85,3.78,3.82,3.82,1.07,17.48,0.83
8,9,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
9,10,430476,海能技术,13.46,-0.44,-0.06,62895,85789165.5,6.58,14.04,13.15,13.47,13.52,10.02,63.16,2.39
10,11,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
11,12,002299,圣农发展,14.28,-1.11,-0.16,70479,101227406.44,2.77,14.58,14.18,14.37,14.44,0.58,34.8,1.76
12,13,300942,易瑞生物,9.2,-1.18,-0.11,138809,127559470.4,3.76,9.4,9.05,9.22,9.31,3.46,710.57,4.69
13,14,300761,立华股份,18.31,-1.19,-0.22,76173,140106044.59,1.89,18.61,18.26,18.4,18.53,1.26,9.79,1.74
14,15,002637,赞宇科技,9.33,-1.27,-0.12,36480,34127224.75,2.33,9.49,9.27,9.42,9.45,0.82,27.29,1.17
15,16,603656,泰禾智能,19.83,-1.29,-0.26,35382,70275225.0,1.69,20.06,19.72,20.0,20.09,1.93,169.37,2.82
16,17,300165,ST天瑞,3.18,-1.55,-0.05,108305,34500769.4,2.48,3.23,3.15,3.21,3.23,2.58,-172.74,1.14
17,18,000061,农 产 品,6.31,-1.56,-0.1,156213,98720246.87,1.87,6.39,6.27,6.35,6.41,0.92,25.63,1.72
18,19,002161,远 望 谷,6.16,-1.6,-0.1,242114,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
19,20,002690,美亚光电,15.71,-1.69,-0.27,53373,84233541.1,2.0,15.97,15.65,15.88,15.98,1.23,23.1,5.4
20,21,600271,航天信息,9.24,-1.7,-0.16,126345,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
21,22,002030,达安基因,6.16,-1.75,-0.11,181814,112781355.64,2.71,6.3,6.13,6.25,6.27,1.3,-12.9,1.04
22,23,301228,实朴检测,18.95,-1.76,-0.34,43927,83651086.0,3.58,19.41,18.72,18.97,19.29,3.67,-45.2,3.04
23,24,002967,广电计量,19.08,-1.9,-0.37,49593,95437235.58,3.03,19.58,18.99,19.28,19.45,0.92,44.21,3.13
24,25,300012,华测检测,13.26,-1.92,-0.26,305934,408672446.81,2.37,13.54,13.22,13.36,13.52,2.14,23.88,3.22
25,26,603079,圣达生物,14.22,-1.93,-0.28,31794,45464459.0,3.03,14.57,14.13,14.52,14.5,1.86,84.22,1.94
26,27,300469,信息发展,36.05,-1.98,-0.73,124051,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
27,28,002734,利民股份,9.83,-1.99,-0.2,97267,96231234.62,2.69,10.07,9.8,9.93,10.03,3.0,52.83,1.45
28,29,000997,新 大 陆,26.99,-2.03,-0.56,333194,902182424.43,3.88,27.72,26.65,27.2,27.55,3.25,25.52,3.98
29,30,002584,西陇科学,7.66,-2.05,-0.16,171499,132044459.45,2.56,7.82,7.62,7.76,7.82,3.97,52.38,1.95
30,31,002321,华英农业,2.39,-2.05,-0.05,255154,61518664.0,2.46,2.44,2.38,2.44,2.44,1.2,116.56,5.3
31,32,002153,石基信息,7.69,-2.29,-0.18,236205,182400002.66,2.54,7.84,7.64,7.82,7.87,1.48,991.01,2.86
32,33,300271,华宇软件,8.2,-2.61,-0.22,227164,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
33,34,301159,三维天地,32.06,-2.64,-0.87,14175,45894346.01,2.58,32.88,32.03,32.84,32.93,3.34,-16.69,3.36
34,35,300155,安居宝,4.91,-2.77,-0.14,98918,48941752.0,3.17,5.05,4.89,5.05,5.05,2.99,-97.24,2.14
35,36,300783,三只松鼠,27.77,-2.83,-0.81,148864,419928246.27,3.85,28.76,27.66,28.47,28.58,5.32,24.48,4.05
36,37,300813,泰林生物,19.25,-3.36,-0.67,30992,60184168.9,2.91,19.79,19.21,19.67,19.92,4.08,154.65,2.97
37,38,300410,正业科技,5.69,-3.56,-0.21,151676,87392017.0,4.41,5.92,5.66,5.84,5.9,4.13,-13.73,6.42
38,39,300260,新莱应材,25.33,-3.69,-0.97,101919,262180464.39,3.69,26.25,25.28,26.2,26.3,3.54,41.42,5.18
39,40,300590,移为通信,15.11,-3.82,-0.6,132630,202954828.0,3.56,15.66,15.1,15.6,15.71,3.74,38.9,3.79
40,41,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
41,42,688056,莱伯泰科,31.49,-5.44,-1.81,9573,30631220.0,5.89,33.36,31.4,33.3,33.3,1.42,53.49,2.6
42,43,600602,云赛智联,24.27,-7.08,-1.85,1086032,2731601648.0,8.69,26.35,24.08,25.83,26.12,10.11,157.63,7.05
