,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
1,2,600272,开开实业,15.33,0.66,0.1,177364,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
2,3,002918,蒙娜丽莎,9.56,0.42,0.04,65377,62359886.0,1.58,9.62,9.47,9.48,9.52,2.98,21.18,0.96
3,4,002186,全 聚 德,11.08,0.18,0.02,63106,69662676.91,1.99,11.16,10.94,10.99,11.06,2.06,36.2,3.89
4,5,000417,合百集团,5.83,-0.17,-0.01,174112,101084474.32,1.54,5.85,5.76,5.8,5.84,2.23,16.34,0.96
5,6,002534,西子洁能,13.35,-0.37,-0.05,79596,106595028.36,2.69,13.57,13.21,13.34,13.4,1.09,17.48,2.41
6,7,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
7,8,603587,地素时尚,12.4,-0.48,-0.06,24728,30660582.0,1.2,12.47,12.32,12.4,12.46,0.52,15.89,1.63
8,9,600826,兰生股份,7.98,-0.87,-0.07,54199,43463235.0,2.24,8.13,7.95,8.06,8.05,0.74,21.75,1.51
9,10,002269,美邦服饰,2.04,-0.97,-0.02,739643,151186114.0,1.46,2.06,2.03,2.06,2.06,2.94,74.18,9.77
10,11,000031,大悦城,2.76,-1.08,-0.03,182609,50902466.8,3.23,2.83,2.74,2.81,2.79,0.46,-15.12,0.9
11,12,002780,三夫户外,11.44,-1.29,-0.15,46102,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
12,13,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
13,14,600158,中体产业,8.11,-1.7,-0.14,156679,127431169.0,1.33,8.2,8.09,8.16,8.25,1.63,251.97,2.99
14,15,603391,力聚热能,42.11,-1.7,-0.73,13209,56129905.0,2.15,43.0,42.08,42.79,42.84,5.81,20.17,1.94
15,16,603081,大丰实业,14.59,-1.75,-0.26,164824,235854743.0,6.46,14.78,13.82,14.78,14.85,4.06,85.13,2.08
16,17,603682,锦和商管,5.44,-1.81,-0.1,98627,53937132.0,2.17,5.54,5.42,5.52,5.54,2.09,51.18,2.44
17,18,600824,益民集团,4.34,-1.81,-0.08,288736,126079225.0,2.26,4.42,4.32,4.41,4.42,2.74,95.73,1.9
18,19,000501,武商集团,8.46,-1.86,-0.16,118187,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
19,20,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
20,21,600556,天下秀,5.21,-2.07,-0.11,466420,244604228.0,2.63,5.33,5.19,5.31,5.32,2.58,107.98,2.43
21,22,300860,锋尚文化,27.06,-2.1,-0.58,41304,112989885.58,3.58,27.9,26.91,27.45,27.64,3.69,175.83,1.63
22,23,600778,友好集团,6.48,-2.11,-0.14,151415,98439676.0,2.42,6.6,6.44,6.59,6.62,4.87,135.28,9.01
23,24,002291,遥望科技,6.8,-2.16,-0.15,355052,242690523.24,3.17,6.95,6.73,6.9,6.95,4.05,-11.61,1.55
24,25,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
25,26,301313,凡拓数创,23.64,-2.31,-0.56,28555,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
26,27,603389,亚振家居,5.5,-2.65,-0.15,56011,31032764.0,2.65,5.63,5.48,5.61,5.65,2.13,-20.31,4.47
27,28,002187,广百股份,7.04,-2.9,-0.21,212763,150941823.2,2.9,7.2,6.99,7.19,7.25,4.11,70.77,1.22
28,29,300795,米奥会展,21.26,-3.28,-0.72,40740,87510906.75,3.09,21.91,21.23,21.8,21.98,3.03,53.99,9.13
29,30,000723,美锦能源,4.71,-3.29,-0.16,1156935,550598914.33,3.49,4.85,4.68,4.82,4.87,2.63,-23.91,1.43
30,31,600679,上海凤凰,13.6,-3.48,-0.49,160640,220175644.0,3.41,14.03,13.55,14.0,14.09,4.67,104.78,3.14
31,32,600006,东风股份,7.43,-3.51,-0.27,486915,366067285.0,3.25,7.66,7.41,7.65,7.7,2.43,-97.21,1.83
32,33,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
33,34,300113,顺网科技,20.5,-3.85,-0.82,357720,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
34,35,300244,迪安诊断,16.0,-4.48,-0.75,257530,418216936.48,4.0,16.65,15.98,16.64,16.75,5.14,57.31,1.42
35,36,838262,太湖雪,24.02,-4.98,-1.26,19066,46513602.27,5.42,25.28,23.91,25.1,25.28,7.49,34.24,4.03
36,37,688343,云天励飞-U,60.87,-5.23,-3.36,136569,845383598.0,6.23,64.7,60.7,64.1,64.23,5.3,-37.71,5.48
37,38,301187,欧圣电气,39.46,-5.64,-2.36,36375,146405554.0,5.26,41.45,39.25,41.38,41.82,7.6,29.28,5.0
38,39,002195,岩山科技,6.25,-6.02,-0.4,6143851,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
