,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300001,特锐德,25.19,3.32,0.81,481349,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
1,2,300011,鼎汉技术,9.17,1.89,0.17,400742,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
2,3,600212,绿能慧充,8.87,0.0,0.0,249645,221308509.0,4.4,9.05,8.66,8.79,8.87,4.85,-1440.02,11.03
3,4,002519,银河电子,5.43,-0.18,-0.01,1047873,574468782.47,4.78,5.6,5.34,5.4,5.44,9.37,32.32,1.91
4,5,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
5,6,603353,和顺石油,15.12,-0.66,-0.1,28787,43859310.0,2.17,15.4,15.07,15.3,15.22,1.69,45.59,1.58
6,7,000009,中国宝安,8.46,-0.7,-0.06,211580,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
7,8,002015,协鑫能科,7.92,-1.0,-0.08,336564,270371962.43,3.75,8.2,7.9,8.0,8.0,2.07,15.91,1.1
8,9,002168,ST惠程,2.52,-1.18,-0.03,280224,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
9,10,000636,风华高科,14.78,-1.2,-0.18,171624,254967404.78,2.34,15.05,14.7,14.9,14.96,1.48,48.31,1.41
10,11,688208,道通科技,44.13,-1.28,-0.57,137928,613728418.0,5.57,46.07,43.58,44.91,44.7,3.05,31.14,5.61
11,12,300376,ST易事特,3.6,-1.64,-0.06,157476,56978144.0,2.19,3.66,3.58,3.64,3.66,0.68,30.51,1.2
12,13,300351,永贵电器,19.13,-1.8,-0.35,182053,349716389.73,3.13,19.6,18.99,19.3,19.48,6.95,55.29,3.1
13,14,300491,通合科技,20.37,-1.83,-0.38,88249,182095662.37,3.57,21.05,20.31,20.62,20.75,5.69,127.74,3.15
14,15,300141,和顺电气,9.34,-1.89,-0.18,77430,73151881.5,3.36,9.63,9.31,9.45,9.52,3.06,-3276.27,3.55
15,16,002806,华锋股份,12.7,-1.93,-0.25,69728,88896768.78,2.93,12.98,12.6,12.83,12.95,4.42,355.74,2.8
16,17,300207,欣旺达,22.63,-2.12,-0.49,255161,582548237.17,3.03,23.26,22.56,23.04,23.12,1.49,25.84,1.77
17,18,002339,积成电子,7.61,-2.19,-0.17,194865,149245160.1,2.06,7.76,7.6,7.74,7.78,4.07,-31.63,2.27
18,19,300693,盛弘股份,37.49,-2.22,-0.85,98120,371949174.36,3.47,38.74,37.41,38.02,38.34,3.69,27.39,6.43
