,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603477,巨星农牧,18.81,1.13,0.21,147970,275480918.0,2.85,18.86,18.33,18.5,18.6,2.9,18.5,3.12
1,2,000895,双汇发展,25.98,0.23,0.06,104377,271969261.7,1.35,26.21,25.86,25.89,25.92,0.3,17.74,4.52
2,3,603668,天马科技,12.51,-0.16,-0.02,97480,122128584.0,3.75,12.77,12.3,12.53,12.53,1.94,67.9,2.78
3,4,002100,天康生物,6.25,-0.48,-0.03,215347,134870690.0,1.75,6.32,6.21,6.27,6.28,1.58,11.31,1.23
4,5,300498,温氏股份,16.55,-0.48,-0.08,339074,563391665.42,1.86,16.79,16.48,16.57,16.63,0.65,11.91,2.69
5,6,603609,禾丰股份,7.6,-0.52,-0.04,39678,30236232.0,1.7,7.69,7.56,7.64,7.64,0.43,18.13,1.07
6,7,002567,唐人神,4.96,-0.6,-0.03,341998,170650574.16,1.8,5.03,4.94,4.98,4.99,2.39,21.01,1.22
7,8,000529,广弘控股,6.03,-0.82,-0.05,55382,33543498.0,1.81,6.12,6.01,6.06,6.08,0.97,31.03,1.12
8,9,605567,春雪食品,8.98,-0.88,-0.08,38166,34236668.0,1.88,9.07,8.9,9.06,9.06,1.91,564.89,1.67
9,10,002299,圣农发展,14.28,-1.11,-0.16,70479,101227406.44,2.77,14.58,14.18,14.37,14.44,0.58,34.8,1.76
10,11,002982,湘佳股份,18.49,-1.12,-0.21,25374,46974675.4,2.73,18.86,18.35,18.65,18.7,2.74,22.62,1.69
11,12,002840,华统股份,11.06,-1.16,-0.13,106651,118623682.8,2.14,11.26,11.02,11.13,11.19,2.14,98.29,2.91
12,13,300761,立华股份,18.31,-1.19,-0.22,76173,140106044.59,1.89,18.61,18.26,18.4,18.53,1.26,9.79,1.74
13,14,002746,仙坛股份,5.87,-1.34,-0.08,119626,70535390.5,1.85,5.95,5.84,5.9,5.95,1.69,33.84,1.13
14,15,002458,益生股份,9.07,-1.41,-0.13,137800,125626290.09,2.61,9.26,9.02,9.08,9.2,1.84,19.61,2.24
15,16,000876,新 希 望,9.41,-1.88,-0.18,425709,402218298.03,3.34,9.63,9.31,9.54,9.59,0.95,208.42,2.0
16,17,002321,华英农业,2.39,-2.05,-0.05,255154,61518664.0,2.46,2.44,2.38,2.44,2.44,1.2,116.56,5.3
17,18,301116,益客食品,11.74,-2.17,-0.26,68310,80945957.0,2.75,12.02,11.69,11.88,12.0,1.52,28.03,2.88
18,19,002234,民和股份,9.01,-2.38,-0.22,135193,123159665.0,4.44,9.35,8.94,9.28,9.23,4.49,-10.86,1.52
19,20,300967,晓鸣股份,13.95,-7.62,-1.15,170734,245751581.24,8.68,15.17,13.86,14.8,15.1,13.68,-229.82,4.05
