,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
1,2,300961,深水海纳,22.98,6.49,1.4,597941.0,1371125481.06,18.4,24.97,21.0,21.02,21.58,39.59,-1603.58,4.05
2,3,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
3,4,002178,延华智能,7.38,5.13,0.36,732688.0,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
4,5,300826,测绘股份,16.98,3.85,0.63,97271.0,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
5,6,301299,卓创资讯,73.0,3.4,2.4,44951.0,324192095.27,6.97,74.12,69.2,70.0,70.6,12.76,62.4,7.48
6,7,300290,荣科科技,18.9,2.16,0.4,311267.0,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
7,8,300504,天邑股份,17.32,0.23,0.04,84022.0,144576110.4,4.57,17.61,16.82,17.05,17.28,3.85,91.51,2.1
8,9,000333,美的集团,75.28,0.15,0.11,384528.0,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
9,10,300166,东方国信,12.79,0.0,0.0,1466842.0,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
10,11,603189,网达软件,19.12,-0.62,-0.12,311815.0,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
11,12,688489,三未信安,36.96,-0.75,-0.28,7985.0,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
12,13,603421,鼎信通讯,7.67,-0.78,-0.06,170330.0,129620851.0,2.46,7.72,7.53,7.66,7.73,2.61,-131.93,1.49
13,14,603313,梦百合,6.36,-0.93,-0.06,48252.0,30817484.0,1.87,6.45,6.33,6.44,6.42,0.85,-17.79,0.97
14,15,301320,豪江智能,19.0,-0.99,-0.19,77637.0,146041908.06,3.49,19.18,18.51,18.9,19.19,11.47,58.5,3.27
15,16,603038,华立股份,14.9,-1.13,-0.17,47190.0,70535243.0,1.73,15.1,14.84,15.07,15.07,1.76,86.04,2.92
16,17,300021,大禹节水,4.56,-1.3,-0.06,148849.0,68070051.59,1.95,4.63,4.54,4.59,4.62,2.12,97.75,2.09
17,18,603598,引力传媒,17.88,-1.54,-0.28,79755.0,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
18,19,600636,国新文化,7.59,-1.56,-0.12,60834.0,46351117.0,2.59,7.72,7.52,7.7,7.71,1.39,-136.01,1.37
19,20,600271,航天信息,9.24,-1.7,-0.16,126345.0,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
20,21,002558,巨人网络,14.91,-1.78,-0.27,247304.0,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
21,22,002615,哈尔斯,8.09,-1.82,-0.15,77792.0,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
22,23,002268,电科网安,17.06,-1.84,-0.32,95738.0,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
23,24,603232,格尔软件,15.23,-1.93,-0.3,92435.0,141544625.0,4.89,15.79,15.03,15.38,15.53,4.0,-70.89,2.68
24,25,002439,启明星辰,17.59,-1.95,-0.35,309157.0,546286075.98,2.29,17.92,17.51,17.68,17.94,4.27,-76.51,1.87
25,26,605186,健麾信息,21.78,-2.02,-0.45,20938.0,45944672.0,2.79,22.35,21.73,22.35,22.23,1.54,69.31,2.77
26,27,600880,博瑞传播,4.84,-2.02,-0.1,345300.0,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
27,28,000997,新 大 陆,26.99,-2.03,-0.56,333194.0,902182424.43,3.88,27.72,26.65,27.2,27.55,3.25,25.52,3.98
28,29,000560,我爱我家,3.24,-2.11,-0.07,733250.0,238800708.34,2.42,3.3,3.22,3.29,3.31,3.25,674.46,0.8
29,30,001339,智微智能,56.09,-2.13,-1.22,117868.0,671751652.54,6.0,58.75,55.31,56.11,57.31,16.12,128.15,6.91
30,31,300773,拉卡拉,17.72,-2.21,-0.4,154699.0,277066064.64,2.65,18.17,17.69,18.07,18.12,2.11,20.42,3.94
31,32,300033,同花顺,301.22,-2.21,-6.8,81235.0,2469945141.83,3.02,309.99,300.7,307.88,308.02,2.95,88.82,25.46
32,33,002819,东方中科,26.71,-2.27,-0.62,61716.0,165011057.33,3.11,27.23,26.38,27.05,27.33,2.62,-71.53,1.97
33,34,300059,东方财富,23.27,-2.27,-0.54,3308993.0,7778007075.49,2.86,23.91,23.23,23.71,23.81,2.48,38.22,4.55
34,35,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
35,36,002614,奥佳华,7.09,-2.34,-0.17,149137.0,106933500.5,3.03,7.31,7.09,7.25,7.26,3.38,65.0,1.01
36,37,300036,超图软件,16.92,-2.37,-0.41,91153.0,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
37,38,603533,掌阅科技,19.44,-2.41,-0.48,73224.0,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
38,39,605365,立达信,15.85,-2.52,-0.41,22174.0,35398486.0,2.46,16.18,15.78,16.16,16.26,0.44,21.4,2.17
39,40,603927,中科软,22.0,-2.53,-0.57,135453.0,300617634.0,3.28,22.62,21.88,22.58,22.57,1.63,47.32,5.67
40,41,300531,优博讯,14.52,-2.55,-0.38,64052.0,93456189.0,2.82,14.87,14.45,14.85,14.9,2.03,204.5,3.17
41,42,000004,国华网安,11.65,-2.59,-0.31,48749.0,57100365.48,3.01,11.96,11.6,11.95,11.96,3.86,-32.29,9.65
42,43,300352,北信源,5.58,-2.62,-0.15,350601.0,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
43,44,300884,狄耐克,12.54,-2.72,-0.35,95684.0,120116585.75,3.26,12.82,12.4,12.8,12.89,5.0,135.97,2.44
44,45,003029,吉大正元,23.51,-2.81,-0.68,56606.0,134138476.0,3.22,24.12,23.34,24.06,24.19,3.31,-47.89,3.73
45,46,300496,中科创达,61.83,-2.86,-1.82,174632.0,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
46,47,002236,大华股份,17.85,-2.88,-0.53,1062577.0,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
47,48,300333,兆日科技,13.5,-2.88,-0.4,166475.0,227371107.0,4.39,14.03,13.42,13.81,13.9,4.97,-1058.02,7.18
48,49,300130,新国都,22.54,-2.89,-0.67,144001.0,329253579.74,4.09,23.44,22.49,23.1,23.21,3.32,32.24,2.98
49,50,002624,完美世界,10.99,-2.92,-0.33,272719.0,302866325.4,4.06,11.4,10.94,11.26,11.32,1.49,-41.13,2.79
50,51,002649,博彦科技,13.88,-3.0,-0.43,186394.0,260856957.03,3.0,14.25,13.82,14.18,14.31,3.4,34.15,1.94
51,52,300941,创识科技,23.46,-3.06,-0.74,48435.0,115082840.38,3.02,24.15,23.42,24.11,24.2,3.99,127.31,3.81
52,53,300348,长亮科技,14.79,-3.08,-0.47,306628.0,458355469.5,2.88,15.2,14.76,15.03,15.26,4.33,2262.85,5.94
53,54,300292,吴通控股,5.29,-3.11,-0.17,529504.0,282882636.0,3.11,5.45,5.28,5.43,5.46,4.74,66.76,5.19
54,55,002421,达实智能,3.93,-3.2,-0.13,891165.0,353671878.4,4.43,4.05,3.87,4.03,4.06,4.45,130.25,2.44
55,56,300872,天阳科技,16.84,-3.22,-0.56,133229.0,227697194.44,3.79,17.45,16.79,17.39,17.4,3.36,68.56,2.46
56,57,002869,金溢科技,27.2,-3.24,-0.91,45752.0,125764968.23,4.06,28.15,27.01,27.96,28.11,2.87,117.82,2.27
