,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601020,华钰矿业,25.55,2.61,0.65,1193964.0,3031558365.0,4.58,26.03,24.89,24.96,24.9,14.56,102.72,6.41
1,2,600208,衢州发展,3.2,1.91,0.06,2381153.0,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
2,3,002715,登云股份,17.24,1.06,0.18,97770.0,164379509.14,5.22,17.24,16.35,16.95,17.06,7.08,158.56,5.57
3,4,002266,浙富控股,3.41,0.59,0.02,319285.0,108953802.82,2.06,3.45,3.38,3.38,3.39,0.65,17.21,1.59
4,5,600170,上海建工,2.54,0.4,0.01,1492594.0,381262487.0,2.37,2.58,2.52,2.53,2.53,1.68,12.53,0.73
5,6,000506,*ST中润,5.37,0.37,0.02,290622.0,156835659.24,3.55,5.48,5.29,5.29,5.35,3.13,-41.53,8.54
6,7,600987,航民股份,7.14,0.14,0.01,73428.0,52368047.0,0.98,7.16,7.09,7.15,7.13,0.72,11.5,1.16
7,8,000737,北方铜业,10.15,0.1,0.01,1400533.0,1464212814.51,9.07,10.95,10.03,10.03,10.14,7.9,26.53,3.12
8,9,002867,周大生,13.69,0.0,0.0,93106.0,126762241.93,2.99,13.78,13.37,13.7,13.69,0.86,13.16,2.42
9,10,600490,鹏欣资源,3.91,0.0,0.0,1164093.0,462374449.0,4.6,4.07,3.89,3.95,3.91,5.84,-55.45,1.44
10,11,603045,福达合金,16.85,-0.41,-0.07,124451.0,208156571.0,3.13,17.0,16.47,16.74,16.92,9.19,41.18,2.36
11,12,000878,云南铜业,13.66,-0.44,-0.06,518548.0,714652091.36,3.13,14.0,13.57,13.6,13.72,2.59,13.48,1.85
12,13,600612,老凤祥,52.29,-0.51,-0.27,10905.0,56983076.0,1.85,52.89,51.92,52.56,52.56,0.34,14.03,2.19
13,14,000009,中国宝安,8.46,-0.7,-0.06,211580.0,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
14,15,600089,特变电工,12.49,-0.72,-0.09,450085.0,566830556.0,1.99,12.72,12.47,12.55,12.58,0.89,11.01,0.98
15,16,600916,中国黄金,8.7,-0.91,-0.08,250518.0,218114668.0,1.82,8.79,8.63,8.76,8.78,1.49,14.7,1.98
16,17,000060,中金岭南,4.96,-1.0,-0.05,651786.0,326392568.92,2.2,5.06,4.95,4.99,5.01,1.74,17.39,1.39
17,18,600655,豫园股份,5.71,-1.04,-0.06,103923.0,59628911.0,2.08,5.8,5.68,5.76,5.77,0.27,14.38,0.61
18,19,002237,恒邦股份,11.03,-1.08,-0.12,171232.0,189817501.82,2.24,11.19,10.94,11.11,11.15,1.88,20.45,1.39
19,20,002552,宝鼎科技,15.24,-1.17,-0.18,67064.0,102893395.0,3.11,15.63,15.15,15.3,15.42,2.09,41.49,3.93
20,21,000688,国城矿业,12.48,-1.19,-0.15,51826.0,64765372.2,1.98,12.65,12.4,12.59,12.63,0.46,-124.76,4.91
21,22,600988,赤峰黄金,21.26,-1.21,-0.26,492337.0,1050919657.0,3.16,21.75,21.07,21.55,21.52,2.96,26.97,5.59
22,23,002102,能特科技,3.16,-1.25,-0.04,352223.0,112296361.48,2.5,3.23,3.15,3.19,3.2,1.51,51.89,1.98
